Start Location,End Location,Registration,Start Geofence,End Geofence,Trip Distance
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,0.4
"Lumumba Street, Mchafukoge, Ilala, Dar es Salaam, Tanzania","Nelson Mandela Road, Kurasini, Temeke, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Isanga,5.1
,,T980DMT,X,Y,2.0
"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Sanku : Morogoro,Y,6.1
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Manzese, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Sanku : Morogoro,1.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Sanku : Dodoma,8.1
"Msasani, Kinondoni, Dar es Salaam, Tanzania","Msasani, Kinondoni, Dar es Salaam, Tanzania",T934DMX,X,Y,1.4
"Kingo, Morogoro Urban, Morogoro, Tanzania","Madaraka, Boma, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,X,PSR Mill - B,3.7
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Charambe, Temeke, Dar es Salaam, Tanzania",T240EBJ,X,Sanku : Morogoro,3.8
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Msasani, Kinondoni, Dar es Salaam, Tanzania",T141DKS,X,Sanku : Mikocheni,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T191DWL,X,Sanku : Mikocheni,5.1
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,1.1
"Tambukareli, Dodoma Urban, Dodoma, Tanzania","Tambukareli, Dodoma Urban, Dodoma, Tanzania",T980DMT,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,1.4
,,T240EBJ,Sanku : Morogoro,Sanku : Morogoro,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,3.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T457EBA,X,Katunzi Family,2.4
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Sanku : Dodoma,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T452EBA,VERONICA MANDELA,Sanku : Dodoma,7.9
"Kitunda, Ilala, Dar es Salaam, Tanzania","Kitunda, Ilala, Dar es Salaam, Tanzania",T250EBJ,Mahanze,Y,1.2
"Kunduchi, Kinondoni, Dar es Salaam, Tanzania","Kunduchi, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,X,Sanku : Mikocheni,3.7
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,9.3
"Kizota, Dodoma Urban, Dodoma, Tanzania","Kizota, Dodoma Urban, Dodoma, Tanzania",T980DMT,X,Y,1.1
"Kichangani, Morogoro Urban, Morogoro, Tanzania","Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T457EBA,X,Y,124.2
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Coty,17.6
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.7
