Start Location,Start Geofence,End Location,End Geofence,Distance,Registration
"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,7.04,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Sinza, Kinondoni, Dar es Salaam, Tanzania",,3.85,DFP8546
"Sinza, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,6.84,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,14.31,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,5.16,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,5.12,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,5.16,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,2.26,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,5.27,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Kawe, Kinondoni, Dar es Salaam, Tanzania",,4.79,DFP8546
"Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,9.78,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,9.33,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",,4.83,DFP8546
"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,6.94,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,0.0,DFP8546
