,Start Time,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance
383,2023-10-11 15:35:57,"Msongola, Ilala, Dar es Salaam, Tanzania",2023-10-11 15:36:50,"Msongola, Ilala, Dar es Salaam, Tanzania",T250EBJ,Out of Route,MTENDENI MASHINE,3.7
384,2024-01-26 19:17:03,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2024-01-26 19:59:20,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Out of Route,Out of Route,7.4
385,2023-12-11 14:07:46,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-11 14:08:16,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,9.4
386,2023-11-10 14:27:46,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-11-10 14:28:30,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Out of Route,Out of Route,7.0
387,2024-01-29 17:23:21,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2024-01-29 17:28:30,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,0.0
388,2023-10-30 17:23:51,"Mji mpya, Morogoro Urban, Morogoro, Tanzania",2023-10-30 17:47:20,"Boma, Morogoro Urban, Morogoro, Tanzania",T862DQM,Out of Route,Out of Route,3.1
389,2023-11-22 14:09:38,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-11-22 14:10:44,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T457EBA,Out of Route,Sanku : Mwanza,2.5
390,2023-11-03 08:28:05,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-11-03 08:28:15,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Takadiri,Sanku : Dodoma,2.8
391,2024-01-27 14:27:58,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2024-01-27 14:29:34,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,0.0
392,2023-12-06 11:36:57,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-12-06 11:39:22,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",T452EBA,Out of Route,Sanku : Dodoma,0.5
393,2023-11-15 17:45:44,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-15 18:47:25,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,Sanku : Mikocheni,Sanku : Mikocheni,0.0
394,2023-12-20 20:27:23,"B127, Magole, Kilosa, Morogoro, Tanzania",2023-12-20 20:34:31,"B129, Dumila, Kilosa, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,0.0
395,2024-01-09 14:32:59,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2024-01-09 14:33:18,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Out of Route,Out of Route,8.0
396,2023-12-04 14:19:53,"Mbaruku Street, Gerezani, Ilala, Dar es Salaam, Tanzania",2023-12-04 14:45:55,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Out of Route,Out of Route,15.5
397,2023-10-27 15:44:12,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-10-27 16:19:52,"Manzese, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Out of Route,MASAGAJA MILL,2.1
398,2023-12-02 13:48:17,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-02 13:50:12,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.0
399,2024-01-25 04:03:19,"Mji mpya, Morogoro Urban, Morogoro, Tanzania",2024-01-25 04:12:47,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T141DKS,Out of Route,Out of Route,0.0
400,2023-12-12 20:42:21,"Kichangani, Morogoro Urban, Morogoro, Tanzania",2023-12-12 20:55:19,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,0.0
401,2023-12-27 14:11:52,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-27 14:14:04,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Africa One Mill -B,Out of Route,1.3
402,2023-11-09 12:56:10,"Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-11-09 13:07:44,"Kihonda, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Out of Route,Sanku : Dodoma,4.3
